3	118   203
4	119   204
5	120   205
23	121   223
24	122   224
25	123   225
26	24
27	124   227
28	125   228
29	25
30	53
31	131
32	50
32	50
33	126   233
34	32
35	27
36	28
37	29
38	30
39	127   239
40	51
41	26
42	54
43	97    143
44	98    144
45	63
46	61
47	99    147
48	100   148
49	52
50	37
51	38
52	39
53	40
54	41
55	42
56	43
57	44
58	45
59	34
60	35
61	36
62	101   162
63	102   163
64	103   164
65	104   165
66	105   166
67	106   167
68	107   168
69	108   169
70	109   170
71	110   171
72	111   172
73	112   173
75	3
76	113   176
77	114   177
78	115   178
79	116   179
80	117   180
126	55
127	56
128	57
129	58
130	59
131	96
134     95
133     94
132     93
